claim_id,title,description,url,verdict_date,keywords,verdict,main_category,secondary_category,domain
12,Did Channing Tatum and Jenna Dewan Break Up?,Actor Channing Tatum and dancer and actor Jenna Dewan announced their separation in April 2018.,https://www.snopes.com/fact-check/channing-tatum-jenna-dewan-divorce/,2018-04-04 00:00:00,Channing Tatum Jenna Dewan break|| Channing Tatum Jenna Dewan separate|| Channing Tatum separate|| Jenna Dewan separate|| Tatum separate|| Dewan separation|| Tatum separation||,TRUE,,,Claim
13,Did Donald Trump Scare a Group of Schoolchildren?,A video shows a group of children frightened by President Donald Trump.,https://www.snopes.com/fact-check/did-trump-scare-schoolchildren/,2018-04-04 00:00:00,Trump scare children|| Trump scare school children|| Trump frighten children,FALSE,,,Claim
14,"Is Daniel Radcliffe Starring in ""Harry Potter and the Cursed Child""?","In April 2018, Daniel Radcliffe announced that he would reprise his role as Harry Potter in a new movie called ""Harry Potter and the Cursed Child.""",https://www.snopes.com/fact-check/harry-potter-cursed-child-movie-poster/,2018-04-03 00:00:00,Harry Potter cursed child movie|| Daniel Radcliffe cursed child|| Radcliffe cursed child|| Harry Potter cursed child,FALSE,,,Claim
15,Did Roseanne Barr Pose as Adolf Hitler for a Magazine Photo Shoot?,Roseanne Barr posed as Hitler for an issue of satirical Jewish magazine 'Heeb.',https://www.snopes.com/fact-check/did-roseanne-pose-as-adolf-hitler-photo-shoot/,2018-03-29 00:00:00,Roseanne Barr Adolf Hitler|| Roseanne Hitler ,TRUE,,,Claim
16,Did Planned Parenthood Say There Should Be a Disney Princess Who Had an Abortion?,Planned Parenthood published a tweet opining that there should be a Disney princess who had an abortion.,https://www.snopes.com/fact-check/planned-parenthood-disney-abortion/,2018-03-28 00:00:00,Planned Parenthood Disney Princess abortion|| Planned Parenthood Disney abortion,TRUE,,,Claim
17,Was Emma Gonzalez Photographed Swinging an Umbrella at a Truck?,"Emma Gonz?lez was photographed attacking a truck belonging to a ""Second Amendment supporter"" during a March for Our Lives event in March 2018.",https://www.snopes.com/fact-check/was-emma-gonzalez-attacking-truck/,2018-03-27 00:00:00,Emma Gonz?lez attack truck|| Emma attack truck,FALSE,,,Claim
18,Did an Instagram Post by Rihanna Cause Snapchat’s Stock Market Value to Fall?,Rihanna's Instagram message to followers to throw away the Snapchat app caused the company's share value to fall by hundreds of millions of dollars in one day.,https://www.snopes.com/fact-check/rihanna-snapchat/,2018-03-20 00:00:00,Rihanna Instagram Snapchat|| Rihanna Instagram Snapchat millions dollars|| Rihanna Snapchat throw|| Rihanna Instagram Snapchat throw,mostly-true,,,Claim
19,Pamela Anderson Death Hoax,Pamela Anderson passed away in March 2018.,https://www.snopes.com/fact-check/pamela-anderson-death-hoax/,2018-03-16 00:00:00,Pamela Anderson death|| Pamela Anderson died|| Pamela Anderson pass away||  Pamela pass away|| Pamela died|| Pamela dead,FALSE,,,Claim
20,Is Matt Damon Moving to Australia to Escape the Trump Administration?,"Matt Damon announced in March 2018 that he was moving his family to ""a safe place"" in Australia because he was fed up with President Donald Trump and his policies.",https://www.snopes.com/fact-check/is-matt-damon-moving-to-australia/,2018-03-15 00:00:00,Matt Damon Australia Trump|| Matt Damon escape Australia|| Damon|| Damon Australia Trump,FALSE,,,Claim
21,Is Julia Stiles Transgender?,"Actress Julia Stiles is transgender, and a photograph shows her before gender reassignment surgery.",https://www.snopes.com/fact-check/julia-stiles-transgender/,2018-03-13 00:00:00,Julia Stiles transgender|| Julia Stiles surgery,FALSE,,,Claim
22,Did Rapper DMX Die?,The rapper DMX (Earl Simmons) died in February 2018.,https://www.snopes.com/fact-check/dmx-death-hoax/,2018-02-16 00:00:00,DMX died|| DMX Die|| Rapper DMX die|| Rapper DMX died|| Earl Simmons die|| Earl Simmons died|| Earl Simmons DMX died|| DMX pass away|| Earl Simmons pass away,FALSE,,,Claim
23,Did Keanu Reeves Help Pay for a Stranger’s Kidney Transplant With an Envelope of Cash?,Keanu Reeves gave an envelope of cash to a stranger in order to help pay for a kidney transplant.,https://www.snopes.com/fact-check/did-keanu-reeves-help-pay-for-a-strangers-kidney-transplant-with-an-envelope-of-cash/,2018-02-09 00:00:00,Keanu Reeves kidney|| Keanu Reeves kidney envelope|| Keanu Reeves envelope|| Reeves kidney|| Reeves pay stranger kidney,FALSE,,,Claim
24,Was Rihanna Banned From Senegal For Being Part of the ‘Illuminati’?,Rihanna was barred from entering Senegal on the grounds that she was suspected of being part of the Illuminati.,https://www.snopes.com/fact-check/rihanna-senegal-illuminati/,2018-02-05 00:00:00,Rihanna banned Senegal|| Rihanna Senegal|| Rihanna barred|| Rihanna barred Senegal|| Rihanna Illuminati senegal ,mostly-false,,,Claim
25,Was Jay-Z Filmed Punching a 12-Year-Old Female Fan?,Jay-Z punched a 12-year-old girl after she tried to take his picture.,https://www.snopes.com/fact-check/jay-z-filmed-punching-12-year-old-female-fan/,2018-02-02 00:00:00,Jay-Z hit fan|| Jay-Z punch fan|| Jay-Z hit face|| Jay-Z punch face|| Jay-Z punch,FALSE,,,Claim
26,"Did Julia Roberts Tell Celine Dion ""Go Back in Your Country"" If She Didn’t like Trump?","Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.",https://www.snopes.com/fact-check/did-julia-roberts-scold-celine-dion-over-trump/,2018-02-01 00:00:00,Julia Roberts Celine Dion|| Julia Roberts go back country|| Celine Dion go back country|| Julia Roberts Trump,FALSE,,,Claim
27,"Is a ""Crocodile Dundee"" Sequel Being Released in 2018?","A sequel to the film ""Crocodile Dundee"" will be released in June 2018.",https://www.snopes.com/fact-check/fake-crocodile-dundee-trailer/,2018-01-24 00:00:00,Crocodile Dundee sequel|| Crocodile Dundee release|| Crocodile Dundee comeback|| Crocodile Dundee come back,FALSE,,,Claim
28,"Did Beyonce? Say That She Is a Descendant of the ""Illuminati""?","Beyonc? revealed that according to a DNA test, she is related to the Rockefellers and the British royal family.",https://www.snopes.com/fact-check/did-beyonce-say-descended-illuminati/,2018-01-17 00:00:00,Beyonc? illuminati|| Beyonc? Beyonc? descendant|| Beyonc? DNA test|| Beyonc? british family,FALSE,,,Claim
29,"Is ""Trumpy Bear"" a Real Product?","A stuffed animal called ""Trumpy Bear"" is a real product available for purchase.",https://www.snopes.com/fact-check/trumpy-bear/,2018-01-11 00:00:00,Trumpy Bear|| Trumpy Bear real|| Trumpy Bear product,TRUE,,,Claim
30,Did Oprah Winfrey Say She Brought Young Women to Harvey Weinstein’s House?,"Oprah Winfrey brushed off accusations against Hollywood producer Harvey Weinstein, saying ""this is just how it is"" for people who want to get ahead in the media industry.",https://www.snopes.com/fact-check/oprah-winfrey-harvey-weinstein-house/,2018-01-09 00:00:00,Oprah Harvey Weinstein|| Oprah Weinstein|| Winfrey Weinstein|| Oprah young women Weinstein,FALSE,,,Claim
31,Is Jennifer Aniston Starting a ‘Celebrities for Trump’ Group?,"Jennifer Aniston and other actors are starting a ""Celebrities For Trump"" advocacy group.",https://www.snopes.com/fact-check/is-jennifer-aniston-starting-a-celebrities-for-trump-group/,2017-11-20 00:00:00,Aniston celebrities Trump|| Aniston Trump|| Jennifer Aniston Trump|| Jennifer Aniston support Trump|| Aniston support Trump,FALSE,,,Claim
32,Was Michael Moore Accused of Sexual Harassment?,Director Michael Moore was accused of sexual harassment by a 16-year-old film extra.,https://www.snopes.com/fact-check/was-michael-moore-accused-of-sexual-harassment/,2017-10-23 00:00:00,Michael Moore sexual harassment|| Michael Moore accused,FALSE,,,Claim
33,Did J.K. Rowling Buy a Twitter User’s Home as Revenge for His Criticism?,Harry Potter author J.K. Rowling exacted revenge on a Twitter critic by monitoring his finances for two years and then buying his home.,https://www.snopes.com/fact-check/jk-rowling-house-troll/,2017-08-28 00:00:00,Rowling revenge|| Rowling buy home|| Rowling buy house,FALSE,,,Claim
34,Did Justin Bieber and Katy Perry Say Pedophiles Run the Music Industry?,Justin Bieber and Katy Perry made public statements warning that the music industry is run by pedophiles.,https://www.snopes.com/fact-check/pedophiles-music-industry/,2017-08-07 00:00:00,Bieber Katy Perry music industry pedophiles|| Bieber music pedophiles|| Katy Perry music pedophiles|| Bieber pedophiles|| Katy Perry pedophiles,FALSE,,,Claim
35,Does Lil’ Wayne Have One Month to Live?,Lil' Wayne announced that he was diagnosed with skin cancer and has one month to live.,https://www.snopes.com/fact-check/lil-wayne-one-month/,2017-07-12 00:00:00,Lil Wayne one month live|| Lil Wayne cancer|| Lil Wayne skin cancer ,FALSE,,,Claim
36,The Golden State Warriors Voted Not to Visit the White House?,The Golden State Warriors basketball team announced on 13 June 2017 that they had unanimously voted to skip a visit to the White House after winning the NBA Championship.,https://www.snopes.com/fact-check/warriors-white-house-visit/,2017-06-13 00:00:00,Golden State Warriors visit white house|| Golden State visit white house|| Warriors visit white house|| GSW visit white house,FALSE,,,Claim
37,"‘Star Wars’ Filming Soon in Your Town, USA","""Star Wars"" movies will be filmed in several small, off-the-beaten-path towns across America.",https://www.snopes.com/fact-check/star-wars-filming-soon-in-your-town-usa/,2016-06-23 00:00:00,Star Wars Filming town|| Star Wars movies filmed town,FALSE,,,Claim
38,"Did ""The Simpsons"" Predict That President Trump Would Touch a Glowing Orb?","""The Simpsons"" depicted that President Donald Trump would touch a glowing orb fifteen years before he actually did so during a trip to the Middle East.",https://www.snopes.com/fact-check/simpsons-predict-trump-orb/,2017-06-07 00:00:00,Simpsons Predict Trump|| Simpsons Predict President || Simpsons Predict Glowing Orb|| Simpsons trump Glowing Orb,FALSE,,,Claim
39,Does Lil’ Wayne Have One Month to Live?,Lil' Wayne announced that he was diagnosed with skin cancer and has one month to live.,https://www.snopes.com/fact-check/lil-wayne-one-month/,2017-07-12 00:00:00,lil Wayne Have One Month|| lil Wayne skin cancer|| lil Wayne month to live,FALSE,,,Claim
40,"Fred Rogers — ""Look for the Helpers""","Television's children host Mr. Rogers said his mother responded to scary news by telling him, 'Look for the helpers.'",https://www.snopes.com/fact-check/look-for-the-helpers/,2017-05-23 00:00:00,Fred Rogers Look for the Helpers|| Fred Rogers mother  Look Helpers|| ,TRUE,,,Claim
41,Amy Schumer to Star in an All-Female Remake of Saving Private Ryan?,Amy Schumer will lead an all-female cast in a remake of Saving Private Ryan,https://www.snopes.com/fact-check/amy-schumer-female-remake-saving-private-ryan/,2017-05-19 00:00:00,Amy Schumer remake Private Ryan|| female remake Private Ryan|| ,FALSE,,,Claim
42,"Was the Horse’s Head in ""The Godfather"" Real?",The horse's head that appeared in an iconic scene in the film The Godfather was real.,https://www.snopes.com/fact-check/godfather-horse-head/,2017-05-11 00:00:00,Horse Head Godfather real|| used real Horse Head scene,TRUE,,,Claim
43,Million Error,A customer closed out his million-dollar account after his bank refused to validate a 50-cent parking ticket.,https://www.snopes.com/fact-check/million-error/,2017-05-09 00:00:00,millionaire withdrew all his money|| millionaire  withdraw money bank refused|| bank refused validate parking ticket,TRUE,,,Claim
44,"Did Clint Eastwood Get ""Terribly Tragic News"" Over His Latest Movie?","Clint Eastwood received ""tragic news"" and was subjected to ""heavy insults"" because of his new movie.",https://www.snopes.com/fact-check/eastwood-tragic-news/,2017-05-01 00:00:00,Clint Eastwood Tragic News Movie,FALSE,,,Claim
45,Does Dolph Lundgren Have Multiple Scientific Degrees?,Action star Dolph Lundgren has multiple scientific degrees.,https://www.snopes.com/fact-check/bill-nye-vs-dolph-lundgren/,2017-04-28 00:00:00,Dolph Lundgren Scientific Degrees|| Dolph Lundgren multiple degrees,mostly-true,,,Claim
46,"Did President Trump Plagiarize His Commencement Speech from ""Legally Blonde""?","A commencement speech delivered by President Trump at Liberty University in May 2017 bore remarkable similarities to one given by Reese Witherspoon's character in the 2001 film ""Legally Blonde.""",https://www.snopes.com/fact-check/trump-legally-blonde-speech/,2017-05-17 00:00:00,Trump Plagiarize Legally Blonde|| trump Commencement Speech Legally Blonde,FALSE,,,Claim
47,Does Actor Jeff Goldblum Have a Food Truck Called ‘Chef Goldblum’s’?,"Actor Jeff Goldblum has a food truck called ""Chef Goldblum's.""",https://www.snopes.com/fact-check/jeff-goldblum-food-truck/,2017-04-27 00:00:00,Jeff Goldblum Food Truck||  jeff Goldblum handing out sandwiches,mostly-true,,,Claim
48,"Did a Stuntman Die in ""Ben-Hur""?",A stuntman was killed during the filming of the chariot race scene in the 1959 version of 'Ben-Hur' and that his death was left in the final cut.,https://www.snopes.com/fact-check/stuntman-death-in-ben-hur/,2017-12-10 00:00:00,Stuntman Die Ben Hur|| Stuntman chariot race scene|| Stuntman killed chariot race,FALSE,,,Claim
49,The Death of M*A*S*H’s Col. Henry Blake,The cast of M*A*S*H did not learn of Col. Blake's death until they were actually filming the scene in which it was announced.,https://www.snopes.com/fact-check/script-doctors/,2017-03-05 00:00:00,Death M*A*S*H col||,FALSE,,,Claim
50,Was Lady Gaga’s Super Bowl Halftime Show Satanic?,Lady Gaga's halftime performance at the 2017 Super Bowl took the form of a Satanic ritual.,https://www.snopes.com/fact-check/lady-gaga-super-bowl-satanic-ritual/,2017-02-13 00:00:00,Lady Gaga Super Bowl Satanic ritual|| gaga Super Bowl Halftime Show Satanic,FALSE,,,Claim
51,Grand Theft Beatles,"During the Beatles' first appearance on The Ed Sullivan Show, crime rates plummeted all over the U.S",https://www.snopes.com/fact-check/grand-theft-beatles/,2017-02-09 00:00:00,Beatles crime rates|| Beatles During first appearance crime ,FALSE,,,Claim
52,Is ‘The Rock’ Running for President?,"Dwayne ""The Rock"" Johnson has announced a presidential bid.",https://www.snopes.com/fact-check/the-rock-running-for-president/,2017-02-03 00:00:00,The Rock Running for President|| Dwayne Running for President,FALSE,,,Claim
53,Did a 1950s TV Episode Feature a Character Named Trump Who Offered to Build a Protective Wall?,An episode of the 1950s western TV series 'Trackdown' featured a snake oil salesman named 'Trump' who promised to build a wall in order to prevent the end of the world.,https://www.snopes.com/fact-check/trackdown-trump-character-wall/,2017-01-13 00:00:00,1950s TV Episode Character Named Trump|| 1950s TV Episode Protective Wall|| Character Offered Build Wall,TRUE,,,Claim
54,The Origins of Princess Leia’s Hairstyle,"Princess Leia's ""hair buns"" in Star Wars were inspired by those of a Mexican revolutionary.",https://www.snopes.com/fact-check/origins-princess-leias-hairstyle/,2016-12-30 00:00:00,hair buns Mexican revolutionary|| Princess Leia Mexican revolutionary,mostly-true,,,Claim
55,Did Carrie Fisher Do Her Own Rewrites for ‘The Empire Strikes Back’?,"Carrie Fisher contributed script revisions during the filming of ""The Empire Strikes Back""",https://www.snopes.com/fact-check/carrie-fisher-rewrites-empire-strikes-back/,2016-12-28 00:00:00,Carrie Fisher Rewrites The Empire,FALSE,,,Claim
56,Video Shows Phone Exploding in CeeLo Green’s Face?,"Singer and former ""The Voice"" star CeeLo Green was injured in a mobile phone explosion captured on video.",https://www.snopes.com/fact-check/phone-exploding-in-ceelo-greens-face/,2016-12-17 00:00:00,Phone Exploding CeeLo Green|| explosion injured CeeLo Green|| Exploding injured CeeLo Green,FALSE,,,Claim
57,"Russian Reality Show ‘Game2: Winter’ Allows Rape, Murder?","A forthcoming Russian reality show called ""Game2: Winter"" will permit contestants to commit crimes, including rape and murder",https://www.snopes.com/fact-check/russian-reality-show-game2-winter-allows-rape-murder/,2016-12-16 00:00:00,Game2: Winter crimes|| Russian Reality Show Allows,FALSE,,,Claim
58,Did a ‘Star Wars’ Film Include an Anti-Trump Scene?,"""Star Wars: Rogue One"" was re-shot to add an anti-Trump scene.",https://www.snopes.com/fact-check/star-wars-anti-trump-scene/,2016-12-09 00:00:00,Star Wars Include Anti-Trump|| Rogue One Include Anti-Trump|| Rogue One re-shot trump,FALSE,,,Claim
59,"Tom and Jerry ""Committed Suicide""",The final episode of Tom And Jerry ended with both characters committing suicide.,https://www.snopes.com/fact-check/tom-and-jerry-committed-suicide/,2016-12-02 00:00:00,Tom and Jerry Committed Suicide|| Tom and Jerry final episode|| Tom and Jerry last episode,mostly-false,,,Claim
60,Did CNN Air Half an Hour of Pornographic Content?,"CNN accidentally aired thirty minutes of porn during an episode of Anthony Bourdain's ""Parts Unknown.""",https://www.snopes.com/fact-check/cnn-half-hour-porn/,2016-11-25 00:00:00,CNN air Pornographic Content|| CNN accidentally porn,FALSE,,,Claim
61,Did ‘The Simpsons’ Anticipate a Donald Trump Presidency?,A video documents that The Simpsons anticipated in 2000 how Donald Trump would announce his presidential candidacy in 2015,https://www.snopes.com/fact-check/simpsons-trump-prediction/,2015-09-24 00:00:00,Simpsons Anticipate Trump|| Simpsons predicted Trump Presidency,FALSE,,,Claim
62,"""Back to the Future II"" Correctly Predicted Cubs World Series Win in 2015?",The 1987 film Back to the Future II correctly predicted that the Florida Marlins would win the 1997 World Series and that the Cubs would play Florida in the 2015 World Series.,https://www.snopes.com/fact-check/back-to-the-future-prediction/,2016-10-22 00:00:00,Back to the Future Predicted Cubs World|| Back to the Future Cubs Win,FALSE,,,Claim
63,"""Star Trek"": Words and Music",The theme to the original 'Star Trek' television includes never-used lyrics.,https://www.snopes.com/fact-check/unthemely-behavior/,2016-09-08 00:00:00,theme original Star Trek used lyrics,TRUE,,,Claim
64,"""Stranger Things"" Season Two to be Written by Stephen King?",The second season of 'Stranger Things' will be written by Stephen King.,https://www.snopes.com/fact-check/stranger-things-stephen-king-netflix/,2016-08-22 00:00:00,Stranger Things Season Two Written Stephen King,FALSE,,,Claim
65,Prince Was Not Haywood Nelson’s Brother,Musician Prince Rogers Nelson and actor Haywood Nelson are half brothers,https://www.snopes.com/fact-check/prince-haywood-nelson-brothers/,2016-04-25 00:00:00,Prince Brother Haywood Nelson|| Prince related Haywood Nelson|| ,FALSE,,,Claim
66,"Bruce Springsteen Cancels North Carolina Concert Over ""Bathroom Law""","Bruce Springsteen cancelled a show in Greensboro, North Carolina, over the state's so-called 'bathroom law.'",https://www.snopes.com/fact-check/bruce-springsteen-bathroom-law/,2016-04-08 00:00:00,Bruce Springsteen Bathroom Law|| Bruce Springsteen Cancels North Carolina,TRUE,,,Claim
67,"Promo for New Netflix Series ""Home Improvementer"" Is Fake","Netflix released a promotional image for its upcoming series ""Home Improvementer""",https://www.snopes.com/fact-check/netflix-home-improvement-reboot/,2016-03-08 00:00:00,New Netflix Home Improvementer|| new Promo Home Improvementer,FALSE,,,Claim
68,"Did ""Django Unchained"" Feature a Real Onscreen Death?",Actor Ato Essandoh was killed during the filming of 'Django Unchained.,https://www.snopes.com/fact-check/django-unchained-death-real/,2016-02-18 00:00:00,Ato Essandoh killed|| Ato Essandoh death Django Unchained,FALSE,,,Claim
69,"Big Ang of ""Mob Wives"" Died?",'Mob Wives' personality Big Ang died of cancer,https://www.snopes.com/fact-check/big-ang-of-mob-wives-died/,2016-02-17 00:00:00,Big Ang Died|| Big Ang Manhattan hospital,TRUE,,,Claim
70,"Did Canada ""Ban Beyonce"" Over Her Super Bowl Performance?",Beyonce has not been banned from performing in Canada based on her 2016 Super Bowl halftime performance.,https://www.snopes.com/fact-check/canada-banned-beyonce/,2016-02-14 00:00:00,Canada ban Super Bowl Performance|| Beyonce ban Super Bowl Performance|| Beyonce banned Canada ,FALSE,,,Claim
71,"""First Letter of the Alphabet"" Question Didn’t Appear on ‘Millionaire’",Photograph shows a 'Who Wants to Be a Millionaire' contestant being asked to identify the first letter of the alphabet. ,https://www.snopes.com/fact-check/game-show-question-photo/,2016-01-19 00:00:00,First Letter of the Alphabet Millionaire|| Who Wants to Be a Millionaire first letter,FALSE,,,Claim
72,Officers in Georgia Killed Over 250 People?,Two police officers in Georgia cumulatively killed more than 250 people and remain at large.,https://www.snopes.com/fact-check/officers-killed-250-people/,2016-01-05 00:00:00,Officers Georgia Killed 250,FALSE,,,Claim
73,"You’re a Racist, Charlie Brown?","A photograph of Franklin, the one black character on 'Peanuts,' sitting alone on Thanksgiving documents that the creator of 'Peanuts' was racist.",https://www.snopes.com/fact-check/charlie-brown-racist-franklin/,2015-12-24 00:00:00,Racist Charlie Brown|| Peanuts Thanksgiving racist|| Charlie Brown Thanksgiving sitting alone,FALSE,,,Claim
74,Star Wreck,Star Trek creator Gene Roddenberry survived a plane crash in 1947.,https://www.snopes.com/fact-check/roddenberry-plane-crash/,2015-11-11 00:00:00,Gene Roddenberry plane crash|| Star Trek plane crash,TRUE,,,Claim
75,Reject Friends Request,Jennifer Aniston is collecting Facebook likes in order to facilitate a reunion of the TV show Friends.,https://www.snopes.com/fact-check/jennifer-aniston-friends-reunion/,2015-11-06 00:00:00,Jennifer Aniston collecting reunion|| Jennifer collecting Facebook likes|| ,FALSE,,,Claim
76,Conspiracy Weary,Singer Avril Lavigne died and was replaced by a doppelg?nger.,https://www.snopes.com/fact-check/avril-lavigne-dead-conspiracy-theory/,2015-11-05 00:00:00,Avril Lavigne died|| Avril Lavigne doppelg?nger|| Avril Lavigne replaced ,FALSE,,,Claim
77,Who Was Michael Myers?,The mass-murdering Michael Myers character in the Halloween series of films sports what was originally a Captain Kirk mask.,https://www.snopes.com/fact-check/william-shatner-halloween-mask/,2015-10-27 00:00:00,Michael Myers Captain Kirk mask|| Michael Myers Halloween series mask|| Halloween series Captain Kirk mask,TRUE,,,Claim
78,Did Stuart Minkus Become Chanel West Coast?,The actor who played Stuart Minkus on the television series Boy Meets World become the actress Chanel West Coast.,https://www.snopes.com/fact-check/minkus-became-chanel-west-coast/,2015-07-20 00:00:00,Stuart Minkus Chanel West Coast|| Stuart Minkus Become ,FALSE,,,Claim
